AVR,8-Bit,16MHz,EBI/EMI* I²C* SPI* UART/USART,Brown-out Detect/Reset* POR* PWM* WDT,53,128KB (64K x 16),FLASH,4K x 8,4K x 8,2.7 V ~ 5.5 V,A/D 8x10b,Internal,-40°C ~ 85°C (TA),64-TQFP,64-TQFP (14x14)
ARM® Cortex®-M3,32-Bit,72MHz,CAN* I²C* IrDA* LIN* SPI* UART/USART* USB,DMA* Motor Control PWM* PDR* POR* PVD* PWM* Temp Sensor* WDT,37,64KB (64K x 8),FLASH,-,20K x 8,2 V ~ 3.6 V,A/D 10x12b,Internal,-40°C ~ 85°C (TA),48-LQFP,48-LQFP (7x7)
AVR,8-Bit,20MHz,USI,Brown-out Detect/Reset* POR* PWM* Temp Sensor* WDT,12,2KB (1K x 16),FLASH,128 x 8,128 x 8,1.8 V ~ 5.5 V,A/D 8x10b,Internal,-40°C ~ 85°C (TA),"14-SOIC (0.154""* 3.90mm Width)",14-SOIC
AVR,8/16-Bit,32MHz,EBI/EMI* I²C* IrDA* SPI* UART/USART,Brown-out Detect/Reset* DMA* POR* PWM* WDT,78,128KB (64K x 16),FLASH,2K x 8,8K x 8,1.6 V ~ 3.6 V,A/D 16x12b* D/A 4x12b,Internal,-40°C ~ 85°C (TA),100-TQFP,100-TQFP (14x14)
AVR,8-Bit,20MHz,I²C* SPI* UART/USART,Brown-out Detect/Reset* POR* PWM* WDT,23,32KB (16K x 16),FLASH,1K x 8,2K x 8,1.8 V ~ 5.5 V,A/D 8x10b,Internal,-40°C ~ 85°C (TA),32-TQFP,32-TQFP (7x7)
AVR,8-Bit,16MHz,EBI/EMI* I²C* SPI* UART/USART,Brown-out Detect/Reset* POR* PWM* WDT,86,128KB (64K x 16),FLASH,4K x 8,8K x 8,2.7 V ~ 5.5 V,A/D 16x10b,Internal,-40°C ~ 85°C (TA),100-TQFP,100-TQFP (14x14)
AVR,8-Bit,20MHz,I²C* SPI* UART/USART,Brown-out Detect/Reset* POR* PWM* WDT,23,16KB (8K x 16),FLASH,512 x 8,1K x 8,1.8 V ~ 5.5 V,A/D 8x10b,Internal,-40°C ~ 85°C (TA),32-TQFP,32-TQFP (7x7)
AVR,8-Bit,16MHz,I²C* SPI* UART/USART,Brown-out Detect/Reset* POR* PWM* WDT,32,16KB (8K x 16),FLASH,512 x 8,1K x 8,2.7 V ~ 5.5 V,A/D 8x10b,Internal,-40°C ~ 85°C (TA),44-TQFP,44-TQFP (10x10)
AVR,8-Bit,16MHz,EBI/EMI* I²C* SPI* UART/USART,Brown-out Detect/Reset* POR* PWM* WDT,54,256KB (128K x 16),FLASH,4K x 8,8K x 8,4.5 V ~ 5.5 V,A/D 8x10b,Internal,-40°C ~ 85°C (TA),64-TQFP,64-TQFP (14x14)
AVR,8-Bit,20MHz,I²C* SPI* UART/USART,Brown-out Detect/Reset* POR* PWM* WDT,32,32KB (16K x 16),FLASH,1K x 8,2K x 8,1.8 V ~ 5.5 V,A/D 8x10b,Internal,-40°C ~ 85°C (TA),44-TQFP,44-TQFP (10x10)
