Transistor Driver,Step-Up* Step-Down* Step-Up/Step-Down,Positive* Isolation Capable,Buck* Boost* Flyback* Forward Converter* Full-Bridge* Half-Bridge* Push-Pull,2,1,8 V ~ 40 V,450kHz,45%,No,No,-,Current Limit* Control,0°C ~ 70°C (TA),"16-DIP (0.300""* 7.62mm)",16-PDIP
Transistor Driver,Step-Down* Step-Up/Step-Down,Positive,Buck* Push-Pull,2,1,8 V ~ 35 V,100Hz ~ 400kHz,49%,Yes,Yes,-,Enable* Soft Start,0°C ~ 70°C (TA),"16-DIP (0.300""* 7.62mm)",16-DIP
Transistor Driver,Step-Down* Step-Up/Step-Down,Positive,Buck* Push-Pull,2,1,8 V ~ 35 V,100Hz ~ 400kHz,49%,Yes,Yes,-,Enable* Soft Start,0°C ~ 70°C (TA),"16-SOIC (0.154""* 3.90mm Width)",16-SO
Transistor Driver,Step-Up* Step-Down* Step-Up/Step-Down,Positive,Buck* Boost* Flyback,2,1,3.6 V ~ 50 V,1kHz ~ 500kHz,-,No,No,-,Control,-20°C ~ 85°C (TA),"16-SOIC (0.209""* 5.30mm Width)",16-SO
Transistor Driver,Step-Up* Step-Down* Step-Up/Step-Down,Positive,Buck* Boost* Flyback* Forward Converter* Full-Bridge* Half-Bridge* Push-Pull,2,1,7 V ~ 40 V,1kHz ~ 300kHz,45%,No,No,-,Dead Time Control* Control,0°C ~ 70°C (TA),"16-SOIC (0.154""* 3.90mm Width)",16-SOIC
Transistor Driver,Step-Up* Step-Down* Step-Up/Step-Down,Positive,Buck* Boost* Flyback* Forward Converter* Full-Bridge* Half-Bridge* Push-Pull,2,1,7 V ~ 40 V,1kHz ~ 300kHz,45%,No,No,-,Dead Time Control* Control,0°C ~ 70°C (TA),"16-SOIC (0.209""* 5.30mm Width)",16-SO
Transistor Driver,Step-Up* Step-Up/Step-Down,Positive,Boost* Flyback,1,1,7.6 V ~ 30 V,Up to 500kHz,96%,No,No,-,Control,0°C ~ 70°C (TJ),"8-SOIC (0.154""* 3.90mm Width)",8-SO
Transistor Driver,Step-Up* Step-Up/Step-Down,Positive,Boost* Flyback,1,1,7.6 V ~ 30 V,Up to 500kHz,96%,No,No,-,Control,0°C ~ 70°C (TA),"8-DIP (0.300""* 7.62mm)",8-PDIP
Transistor Driver,Step-Up* Step-Up/Step-Down,Positive or Negative* Isolation Capable,Boost* Flyback,1,1,7.6 V ~ 30 V,500kHz,48%,No,No,-,Control,0°C ~ 70°C (TA),"8-SOIC (0.154""* 3.90mm Width)",8-SOIC
Transistor Driver,Step-Up* Step-Up/Step-Down,Positive or Negative* Isolation Capable,Boost* Flyback,1,1,7.6 V ~ 30 V,500kHz,48%,No,No,-,Control,0°C ~ 70°C (TA),"8-DIP (0.300""* 7.62mm)",8-PDIP
Transistor Driver,Step-Down,Positive,Buck,2,2,2.75 V ~ 20 V,200kHz ~ 1.5MHz,90%,Yes,Yes,-,Current Limit* Enable* Control* Power Good* Soft Start* Tracking,-40°C ~ 85°C (TA),32-VFQFN Exposed Pad* CSP,32-LFCSP-VQ (5x5)
Transistor Driver,Step-Up* Step-Down,Positive or Negative,Buck* Boost,2,1,3.6 V ~ 35 V,10kHz ~ 800kHz,100%,Yes,No,-,Dead Time Control* Soft Start,-40°C ~ 85°C (TA),"16-LSSOP (0.173""* 4.40mm Width)",16-SSOPB
