NPT and Trench,1200V,50A,90A,2.65V @ 15V* 50A,312W,4.1mJ (on)* 960µJ (off),Standard,200nC,50ns/190ns,600V* 25A* 10 Ohm* 15V,350ns,-55°C ~ 150°C (TJ),Through Hole,TO-3P-3* SC-65-3,TO-3P,
-,600V,40A,160A,2.5V @ 15V* 20A,160W,110µJ (on)* 230µJ (off),Standard,98nC,Td (on/off) @ 25°C 27ns/100ns,480V* 20A* 10 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,600V,55A,220A,2.3V @ 15V* 27A,200W,80µJ (on)* 320µJ (off),Standard,180nC,Td (on/off) @ 25°C 46ns/120ns,480V* 27A* 5 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,1200V,41A,82A,3.1V @ 15V* 21A,160W,1.95mJ (on)* 1.71mJ (off),Standard,100nC,Td (on/off) @ 25°C 22ns/100ns,800V* 21A* 10 Ohm* 15V,50ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
NPT,1200V,40A,120A,4.85V @ 15V* 40A,300W,850µJ (on)* 425µJ (off),Standard,169nC,Td (on/off) @ 25°C -,600V* 20A* 5 Ohm* 15V,300ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,600V,50A,1.8V @ 15V* 31A,160W,Standard,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
NPT,1200V,80A,160A,3.71V @ 15V* 50A,595W,1.4mJ (on)* 1.65mJ (off),Standard,340nC,Td (on/off) @ 25°C -,600V* 40A* 4.7 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-274AA,
NPT,1200V,105A,240A,2.75V @ 15V* 60A,595W,3.21mJ (on)* 4.78mJ (off),Standard,340nC,Td (on/off) @ 25°C -,600V* 15A* 4.7 Ohm* 15V,180ns,-55°C ~ 150°C (TJ),Through Hole,TO-274AA,
-,1600V,7A,7V @ 15V* 5A,70W,-,Standard,34nC,Td (on/off) @ 25°C -,960V* 5A* 27 Ohm* 10V,-55°C ~ 150°C (TJ),Through Hole,i4-Pac™-5 (3 Leads),
NPT,1200V,50A,2.8V @ 15V* 35A,200W,5.4mJ (on)* 2.6mJ (off),Standard,150nC,Td (on/off) @ 25°C -,600V* 35A* 39 Ohm* 15V,80ns,-55°C ~ 150°C (TJ),Through Hole,ISOPLUS247™,
PT,600V,75A,200A,2.7V @ 15V* 30A,300W,200µJ (off),Standard,95nC,Td (on/off) @ 25°C 18ns/90ns,400V* 30A* 3 Ohm* 15V,25ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247AD (IXGH),
-,1200V,32A,64A,3.2V @ 15V* 15A,200W,-,Standard,Td (on/off) @ 25°C 70ns/400ns,600V* 15A* 82 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,
NPT,1200V,30A,52A,3.6V @ 15V* 15A,198W,1.9mJ,Standard,130nC,Td (on/off) @ 25°C 18ns/580ns,800V* 15A* 33 Ohm* 15V,-55°C ~ 150°C (TJ),Surface Mount,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,
NPT,1200V,30A,52A,3.6V @ 15V* 15A,198W,1.9mJ,Standard,130nC,Td (on/off) @ 25°C 18ns/580ns,800V* 15A* 33 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,
-,1500V,10A,20A,5.5V @ 10V* 5A,50W,190µJ (on)* 100µJ (off),Standard,30nC,Td (on/off) @ 25°C 10ns/30ns,600V* 5A* 10 Ohm* 10V,-55°C ~ 150°C (TJ),Through Hole,TO-220-3 Full Pack,
-,600V,13A,52A,2.6V @ 15V* 6.5A,60W,85µJ (on)* 95µJ (off),Standard,25nC,Td (on/off) @ 25°C 20ns/70ns,300V* 6.5A* 50 Ohm* 15V,55ns,-,Surface Mount,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,D²PAK,
NPT,600V,36A,80A,3.15V @ 15V* 20A,178W,690µJ,Standard,100nC,Td (on/off) @ 25°C 18ns/207ns,400V* 20A* 16 Ohm* 15V,130ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,PG-TO247-3,
NPT,1200V,46A,84A,3.6V @ 15V* 25A,313W,3.7mJ,Standard,225nC,Td (on/off) @ 25°C 45ns/730ns,800V* 25A* 22 Ohm* 15V,90ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,440V,20A,40A,1.8V @ 4.5V* 10A,125W,2.4mJ (on)* 5mJ (off),Standard,28nC,1.3µs/8µs,328V* 10A* 1 kOhm* 5V,-,-65°C ~ 175°C (TJ),Surface Mount,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,D2PAK,
-,1200V,10A,10A,2V @ 15V* 5A,75W,2.59mJ (on)* 9mJ (off),Standard,Td (on/off) @ 25°C 690ns/12.1µs,960V* 5A* 1 kOhm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-251-3 Short Leads* IPak* TO-251AA,I-PAK,
-,1200V,10A,10A,2V @ 15V* 5A,75W,2.59mJ (on)* 9mJ (off),Standard,-,690ns/12.1µs,960V* 5A* 1 kOhm* 15V,-,-55°C ~ 150°C (TJ),Surface Mount,TO-252-3* DPak (2 Leads + Tab)* SC-63,DPAK,
-,3000V,22A,103A,3.2V @ 15V* 20A,100W,-,Standard,31nC,Td (on/off) @ 25°C -,-,-55°C ~ 150°C (TJ),Through Hole,i4-Pac™-5 (3 Leads),
NPT,600V,12A,24A,2.4V @ 15V* 6A,68W,215µJ,Standard,32nC,Td (on/off) @ 25°C 25ns/220ns,400V* 6A* 50 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,
-,600V,14A,56A,2.8V @ 15V* 7A,80W,85µJ (off),Standard,42nC,Td (on/off) @ 25°C 15ns/75ns,480V* 7A* 10 Ohm* 15V,100ns,150°C (TJ),Through Hole,TO-220-3,TO-220AB,
-,600V,15A,30A,2.75V @ 15V* 3A,65W,55µJ (on)* 85µJ (off),Standard,19nC,Td (on/off) @ 25°C 17ns/72ns,390V* 3A* 10 Ohm* 15V,23.5ns,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220AB,
-,600V,25A,50A,2.5V @ 15V* 7A,80W,82µJ (on)* 155µJ (off),Standard,34.4nC,Td (on/off) @ 25°C 22.5ns/116ns,390V* 7A* 10 Ohm* 15V,37ns,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220AB,
-,600V,54A,96A,2.7V @ 15V* 12A,167W,55µJ (on)* 50µJ (off),Standard,78nC,Td (on/off) @ 25°C 17ns/96ns,390V* 12A* 10 Ohm* 15V,30ns,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220AB,
NPT,600V,20A,40A,2.4V @ 15V* 10A,92W,320µJ,Standard,52nC,Td (on/off) @ 25°C 28ns/178ns,400V* 10A* 25 Ohm* 15V,220ns,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,
-,600V,40A,160A,2V @ 15V* 20A,165W,475µJ (on)* 1.05mJ (off),Standard,80nC,Td (on/off) @ 25°C -,-,55ns,-40°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247,
-,600V,40A,160A,2.5V @ 15V* 20A,160W,110µJ (on)* 230µJ (off),Standard,98nC,Td (on/off) @ 25°C 27ns/100ns,480V* 20A* 10 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
Trench Field Stop,1200V,80A,160A,2.4V @ 15V* 40A,555W,2.7mJ (on)* 1.1mJ (off),Standard,370nC,40ns/475ns,600V* 40A* 10 Ohm* 15V,65ns,-55°C ~ 175°C (TJ),Through Hole,TO-247-3,TO-247,
-,600V,17A,40A,2.7V @ 15V* 3A,70W,37µJ (on)* 25µJ (off),Standard,21nC,6ns/73ns,390V* 3A* 50 Ohm* 15V,-,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220AB,
Trench,600V,80A,-,1.8V @ 15V* 40A,260.4W,-,Standard,-,53ns/105ns,400V* 30A* 5 Ohm* 15V,90ns,150°C (TJ),Through Hole,TO-247-3,TO-247A,
NPT and Trench,1000V,60A,120A,2.9V @ 15V* 60A,180W,-,Standard,275nC,140ns/630ns,600V* 60A* 51 Ohm* 15V,1.2µs,-55°C ~ 150°C (TJ),Through Hole,TO-264-3* TO-264AA,TO-264,
PT,600V,75A,250A,2.5V @ 15V* 30A,300W,410µJ (on)* 230µJ (off),Standard,77nC,Td (on/off) @ 25°C 19ns/60ns,400V* 30A* 3 Ohm* 15V,25ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247AD (IXGH),
PT,600V,75A,250A,2.5V @ 15V* 30A,300W,410µJ (on)* 230µJ (off),Standard,77nC,Td (on/off) @ 25°C 19ns/60ns,400V* 30A* 3 Ohm* 15V,25ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247AD (IXGH),
-,1200V,41A,82A,3.1V @ 15V* 21A,160W,1.04mJ (on)* 3.4mJ (off),Standard,86nC,Td (on/off) @ 25°C 24ns/220ns,960V* 21A* 10 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,600V,80A,200A,2.5V @ 15V* 40A,260W,330µJ (on)* 720µJ (off),Standard,214nC,Td (on/off) @ 25°C 43ns/140ns,390V* 40A* 3.3 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247-3,
-,1300V,63A,125A,2.8V @ 15V* 20A,250W,3.4mJ (off),Standard,127nC,Td (on/off) @ 25°C -/284ns,960V* 20A* 10 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
NPT,1200V,35A,80A,2.7V @ 15V* 10A,298W,850µJ (on)* 800µJ (off),Standard,100nC,Td (on/off) @ 25°C 23ns/165ns,960V* 10A* 10 Ohm* 15V,70ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,600V,75A,240A,2.7V @ 15V* 30A,463W,260µJ (on)* 250µJ (off),Standard,70nC,Td (on/off) @ 25°C 13ns/55ns,390V* 30A* 3 Ohm* 15V,55ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,600V,70A,220A,2.7V @ 15V* 30A,250W,595µJ (on)* 716µJ (off),Standard,135nC,Td (on/off) @ 25°C 46ns/164ns,480V* 30A* 10 Ohm* 15V,45ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247 Long Leads,
NPT,1200V,64A,160A,3.2V @ 15V* 40A,500W,2.3mJ (on)* 1.1mJ (off),Standard,220nC,Td (on/off) @ 25°C 15ns/110ns,600V* 40A* 5 Ohm* 15V,112ns,-55°C ~ 150°C (TJ),Through Hole,TO-264-3* TO-264AA,
-,600V,80A,150A,2.5V @ 15V* 20A,250W,220µJ (on)* 330µJ (off),Standard,100nC,Td (on/off) @ 25°C 31ns/100ns,390V* 20A* 3.3 Ohm* 15V,44ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247-3,
-,1200V,45A,180A,3.7V @ 15V* 24A,200W,2.1mJ (on)* 1.5mJ (off),Standard,160nC,47ns/110ns,800V* 24A* 5 Ohm* 15V,90ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247AC,
PT,600V,75A,200A,2.7V @ 15V* 30A,300W,200µJ (off),Standard,95nC,Td (on/off) @ 25°C 18ns/90ns,400V* 30A* 3 Ohm* 15V,25ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247AD (IXGH),
-,1200V,30A,60A,3.4V @ 15V* 15A,160W,1.31mJ (on)* 1.12mJ (off),Standard,94nC,Td (on/off) @ 25°C 50ns/96ns,800V* 15A* 10 Ohm* 15V,63ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,600V,75A,240A,2.6V @ 15V* 30A,463W,280µJ (on)* 240µJ (off),Standard,225nC,Td (on/off) @ 25°C 25ns/150ns,390V* 30A* 3 Ohm* 15V,55ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247-3,
Trench,600V,140A,225A,2.1V @ 15V* 75A,454W,2.47mJ (on)* 2.16mJ (off),Standard,150nC,Td (on/off) @ 25°C 50ns/200ns,400V* 75A* 10 Ohm* 15V,155ns,-55°C ~ 175°C (TJ),Through Hole,TO-247-3,
-,600V,10A,50A,2.5V @ 15V* 7A,25W,95µJ (on)* 115µJ (off),Standard,35nC,Td (on/off) @ 25°C 18.5ns/72ns,390V* 7A* 10 Ohm* 15V,37ns,-55°C ~ 150°C (TJ),Through Hole,TO-220-3 Full Pack,TO-220FP,
-,440V,20A,40A,1.8V @ 4.5V* 10A,125W,2.4mJ (on)* 5mJ (off),Standard,28nC,1.3µs/8µs,328V* 10A* 1 kOhm* 5V,-,-65°C ~ 175°C (TJ),Surface Mount,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,D2PAK,
-,1200V,10A,10A,2V @ 15V* 5A,75W,2.59mJ (on)* 9mJ (off),Standard,Td (on/off) @ 25°C 690ns/12.1µs,960V* 5A* 1 kOhm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-251-3 Short Leads* IPak* TO-251AA,I-PAK,
-,1200V,10A,10A,2V @ 15V* 5A,75W,2.59mJ (on)* 9mJ (off),Standard,-,690ns/12.1µs,960V* 5A* 1 kOhm* 15V,-,-55°C ~ 150°C (TJ),Surface Mount,TO-252-3* DPak (2 Leads + Tab)* SC-63,DPAK,
-,600V,7A,30A,2.75V @ 15V* 3A,24W,55µJ (on)* 85µJ (off),Standard,19nC,Td (on/off) @ 25°C 17ns/72ns,390V* 3A* 10 Ohm* 15V,23.5ns,-55°C ~ 150°C (TJ),Through Hole,TO-220-3 Full Pack,TO-220FP,
-,600V,14A,56A,2.8V @ 15V* 7A,80W,140µJ (off),Standard,32.7nC,Td (on/off) @ 25°C 15ns/50ns,480V* 7A* 10 Ohm* 15V,50ns,150°C (TJ),Through Hole,TO-220-3,TO-220AB,
-,1200V,60A,2.75V @ 15V* 20A,220W,1.66mJ (on)* 4.44mJ (off),Standard,110nC,Td (on/off) @ 25°C 29ns/275ns,960V* 20A* 10 Ohm* 15V,152ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247-3,
-,600V,60A,150A,2.5V @ 15V* 20A,200W,185µJ (off),Standard,140nC,30ns/175ns,390V* 20A* 10 Ohm* 15V,85ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247-3,
-,1300V,63A,125A,2.8V @ 15V* 20A,250W,3.4mJ (off),Standard,127nC,Td (on/off) @ 25°C -/284ns,960V* 20A* 10 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,1300V,55A,125A,2.8V @ 15V* 20A,180W,3.4mJ (off),Standard,127nC,Td (on/off) @ 25°C -/284ns,960V* 20A* 10 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
Field Stop,600V,120A,180A,2.9V @ 15V* 60A,378W,1.79mJ (on)* 670µJ (off),Standard,198nC,22ns/134ns,400V* 60A* 5 Ohm* 15V,47ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247,
-,1200V,45A,180A,3.7V @ 15V* 24A,200W,2.1mJ (on)* 1.5mJ (off),Standard,160nC,Td (on/off) @ 25°C 47ns/110ns,800V* 24A* 5 Ohm* 15V,90ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,
-,600V,75A,200A,2.7V @ 15V* 50A,250W,4.8mJ (off),Standard,200nC,Td (on/off) @ 25°C 50ns/200ns,480V* 50A* 2.7 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247AD (IXGH),
Trench,900V,60A,120A,2.7V @ 15V* 60A,180W,-,Standard,260nC,-,-,1.5µs,-55°C ~ 150°C (TJ),Through Hole,TO-264-3* TO-264AA,TO-264,
NPT,600V,41A,112A,3.15V @ 15V* 30A,250W,1.15mJ,Standard,141nC,Td (on/off) @ 25°C 20ns/250ns,400V* 30A* 11 Ohm* 15V,125ns,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,PG-TO247-3,
-,600V,14A,42A,2.4V @ 15V* 7.8A,49W,240µJ (on)* 260µJ (off),Standard,23nC,17ns/160ns,480V* 7.8A* 75 Ohm* 15V,28ns,-55°C ~ 150°C (TJ),Surface Mount,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,D2PAK,
PT,600V,75A,300A,2.5V @ 15V* 50A,480W,480µJ (off),Standard,146nC,Td (on/off) @ 25°C 18ns/95ns,400V* 50A* 2 Ohm* 15V,-55°C ~ 150°C (TJ),Through Hole,TO-247-3,TO-247AD (IXGH),
-,600V,28A,56A,2.7V @ 15V* 16A,100W,600µJ (on)* 580µJ (off),Standard,67nC,60ns/160ns,480V* 16A* 23 Ohm* 15V,42ns,-55°C ~ 150°C (TJ),Through Hole,TO-220-3,TO-220AB,
-,430V,18A,50A,2.5V @ 4V* 15A,115W,-,Logic,-,-,-,-,-55°C ~ 175°C (TJ),Surface Mount,TO-263-3* D²Pak (2 Leads + Tab)* TO-263AB,D2PAK,
